,proj_id,regis_id,regis_date,cancel_date,proj_name_th,proj_name_en,proj_abbr_name,fund_status,unique_id,permit_us_investment,invest_country_flag,risk_spectrum,proj_retail_type,proj_term_flag,proj_term_dd,proj_term_mm,proj_term_yy,spec_code,risk_spectrum_desc,spec_desc,fund_suitable_desc
10,M0017_2565,MF0051_2565,2022-02-28,-,กองทุนเปิดไทยพาณิชย์ Electric Vehicles and Future Mobility,SCB Electric Vehicles and Future Mobility,SCBEV,RG,C0000000239,,1,,R,N,,,,"FED,SSF",,"กองทุนรวมฟีดเดอร์,กองทุนรวมเพื่อการออม ","<p>
- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br>
- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป</p>
<p>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้
<br>
- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br>
- กองทุนรวมมีการแบ่งชนิดหน่วยลงทุนเป็น 6 ชนิด ได้แก่ ชนิดสะสมมูลค่า ชนิดรับซื้อคืนอัตโนมัติ ชนิดจ่ายเงินปันผล ชนิด         ผู้ลงทุนกลุ่ม/บุคคล ชนิดช่องทางอิเล็กทรอนิกส์ ชนิดเพื่อการออม ปัจจุบันเปิดให้บริการชนิดสะสมมูลค่า ชนิดช่องทางอิเล็กทรอนิกส์ และชนิดเพื่อการออม
</p>

- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br>
- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป<br>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป"
11,M0017_2566,MF0103_2566,2023-03-22,-,กองทุนเปิดไทยพาณิชย์ Double Structured Complex Return 1YG ห้ามขายผู้ลงทุนรายย่อย,SCB Double Structured Complex Return 1YG Not for Retail Investors,SCBDSHARC1YG,RG,C0000000239,,1,,B,Y,,,1 ,,,,
12,M0024_2560,MF0136_2560,2017-03-28,-,กองทุนเปิดไทยพาณิชย์ ตราสารหนี้ US Short Duration High Income,SCB US Short Duration High Income Bond,SCBUSHY,RG,C0000000239,,1,,R,N,,,,FED,กองทุนเป็นกองทุนรวมตราสารหนี้ แต่เนื่องจากกองทุนหลักเน้นลงทุนในตรา non-investment grade/unrated ไม่น้อยกว่าร้อยละ 60 ของ NAV ความเสี่ยงของกองทุนจึงเป็นระดับ 6,กองทุนรวมฟีดเดอร์,- ผู้ลงทุนที่คาดหวังผลตอบแทนที่สูงกว่าเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่าหุ้นได้<br>- ผู้ลงทุนที่ต้องการสภาพคล่องในการซื้อขายไถ่ถอนหน่วยลงทุนได้ทุกวันทำการ โดยจะได้รับเงินคืนภายในวันที่ T+3<br>
13,M0026_2539,045_2539,1996-08-20,-,กองทุนเปิดไทยพาณิชย์ เซ็ท อินเด็กซ์ ฟันด์ ,SCB SET INDEX FUND   ,SCBSETFUND,RG,C0000000239,,3,,R,N,,,,IND,,กองทุนรวมดัชนี,"- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br>
- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไปและต้องการสร้างผลตอบแทนให้มีความใกล้เคียงกับผลตอบแทนของดัชนีตลาดหลักทรัพย์แห่งประเทศไทย (SET INDEX)<br>"
14,M0026_2551,026_2551,2008-02-06,-,กองทุนเปิดไทยพาณิชย์ เอเชียน อีเมอร์จิ้ง มาร์เก็ต ฟันด์,SCB ASIAN EMERGING MARKETS OPEN END FUND    ,SCBAEMFUND,RG,C0000000239,,1,,R,N,,,,FED,,กองทุนรวมฟีดเดอร์,"
- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br>
- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป<br>
"
15,M0031_2557,MF0111_2557,2014-02-26,-,กองทุนเปิดไทยพาณิชย์หุ้นยุโรป,SCB EUROPEAN EQUITY FUND,SCBEUEQFUND,RG,C0000000239,,1,,R,N,,,,FED,,กองทุนรวมฟีดเดอร์,"- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br>
- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป<br>"
16,M0033_2560,MF0068_2560,2017-02-21,-,กองทุนเปิดไทยพาณิชย์โกลบอลมัลติสตราทิจีส์ ห้ามขายผู้ลงทุนรายย่อย,SCB Global Multi Strategies (Not for Retail Investors),SCBGMT,RG,C0000000239,,1,,H,N,,,,FED,,กองทุนรวมฟีดเดอร์,-	ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br>-	ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป<br>
17,M0039_2566,MF0074_2566,2023-02-28,-,กองทุนเปิดไทยพาณิชย์ Double Structured Complex Return 1YH ห้ามขายผู้ลงทุนรายย่อย,SCB Double Structured Complex Return 1YH Not for Retail Investors,SCBDSHARC1YH,RG,C0000000239,,1,,B,Y,,,1 ,,,,
18,M0043_2566,MF0047_2566,2023-02-14,-,กองทุนเปิดไทยพาณิชย์ตราสารหนี้ต่างประเทศ เอเอส 1YE9 ห้ามขายผู้ลงทุนรายย่อย,SCB Foreign Fixed Income Fund 1YE9 Not for Retail Investors,SCBASF1YE9,RG,C0000000239,,1,,B,Y,,,1 ,,,,
19,M0049_2565,MF0178_2565,2022-06-14,-,กองทุนเปิดไทยพาณิชย์ หุ้นยูเอส แอคทีฟ เพื่อการเลี้ยงชีพ,SCB US Active Equity RMF,SCBRMUSA,RG,C0000000239,,1,,R,N,,,,"FED,RMF",,"กองทุนรวมฟีดเดอร์,กองทุนรวมเพื่อการเลี้ยงชีพ","- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้
<br>- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br>- กองทุนรวมมีการแบ่งชนิดหน่วยลงทุนเป็น 2 ชนิด ได้แก่ ชนิดสะสมมูลค่าและชนิดช่องทางอิเล็กทรอนิกส์ ปัจจุบันเปิดให้บริการชนิดสะสมมูลค่า 
<br>"
20,M0059_2564,MF0073_2564,2021-03-09,-,กองทุนเปิดไทยพาณิชย์ Global Clean Energy,SCB Global Clean Energy,SCBCLEAN,RG,C0000000239,,1,,R,N,,,,"FED,SSF",,"กองทุนรวมฟีดเดอร์,กองทุนรวมเพื่อการออม ","- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุนซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้
<br>
- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน ตราสารหนี้ทั่วไป
<br>
"
21,M0061_2561,MF0055_2561,2018-03-06,-,กองทุนเปิดไทยพาณิชย์ โกลบอล ฟิกซ์ อินคัม,SCB Global Fixed Income Fund,SCBFIN,RG,C0000000239,,1,,R,N,,,,FED,หมายเหตุ: กองทุนเป็นกองทุนรวมตราสารหนี้ แต่เนื่องจากกองทุนหลักเน้นลงทุนในตราสาร non-investment grade/unrated เกินกว่าร้อยละ 20 ของ NAV  แต่น้อยกว่าร้อยละ 60 ของ NAV ความเสี่ยงของกองทุนจึงเป็นระดับ 5,กองทุนรวมฟีดเดอร์,"- ผู้ลงทุนที่คาดหวังผลตอบแทนที่สูงกว่าเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่าหุ้นได้
<br>- ผู้ลงทุนที่ต้องการสภาพคล่องในการซื้อขายไถ่ถอนหน่วยลงทุนได้ทุกวันทำการ โดยจะได้รับเงินคืนภายในวันที่ T+3
<br><br>"
22,M0065_2558,MF0179_2558,2015-03-24,-,กองทุนเปิดไทยพาณิชย์ หุ้นอินเดีย,SCB INDIA EQUITY FUND,SCBINDIAFUND,RG,C0000000239,,1,,R,N,,,,FED,,กองทุนรวมฟีดเดอร์,"- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br>
- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป<br>
<br>
"
23,M0074_2544,004_2545,2002-02-14,-,กองทุนเปิดไทยพาณิชย์พันธบัตรรัฐบาลเพื่อการเลี้ยงชีพ ,SCB GOVERNMENT BOND RMF   ,SCBRM2,RG,C0000000239,,3,,R,N,,,,RMF,,กองทุนรวมเพื่อการเลี้ยงชีพ,"<ul>
    <li>ผู้ลงทุนที่คาดหวังผลตอบแทนที่สูงกว่าเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่าหุ้นได้</li>
</ul>
<br>
"
24,M0079_2544,003_2545,2002-02-14,-,กองทุนเปิดไทยพาณิชย์ตราสารหนี้ระยะสั้นเพื่อการเลี้ยงชีพ ,SCB SHORT TERM FIXED INCOME RMF   ,SCBRM1,RG,C0000000239,,3,,R,N,,,,RMF,,กองทุนรวมเพื่อการเลี้ยงชีพ,"<ul>
    
    <li>ผู้ลงทุนที่คาดหวังผลตอบแทนที่สูงกว่าเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่าหุ้นได้</li></ul>"
25,M0079_2564,MF0099_2564,2021-03-23,-,กองทุนเปิดไทยพาณิชย์ Active All China Equity,SCB Active All China Equity Fund,SCBCHIN,RG,C0000000239,,1,,R,N,,,,FED,,กองทุนรวมฟีดเดอร์,"<p>
- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br>
- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป</p>
"
26,M0079_2566,MF0073_2566,2023-02-28,-,กองทุนเปิดไทยพาณิชย์ตราสารหนี้ต่างประเทศ เอเอส 1YF1 ห้ามขายผู้ลงทุนรายย่อย,SCB Foreign Fixed Income Fund 1YF1 Not for Retail Investors,SCBASF1YF1,RG,C0000000239,,1,,B,Y,,,1 ,,,,
27,M0080_2544,005_2545,2002-02-14,-,กองทุนเปิดไทยพาณิชย์เฟล็กซิเบิ้ล ฟันด์เพื่อการเลี้ยงชีพ,SCB FLEXIBLE FUND RMF,SCBRM3,RG,C0000000239,,3,,R,N,,,,RMF,,กองทุนรวมเพื่อการเลี้ยงชีพ,"<ul>
    <li>ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้</li>
    <li>ผู้ลงทุนที่สามารถลงทุนได้ในระยะยาว โดยคาดหวังผลตอบแทนที่สูงขึ้นในระยะยาว</li>
    
</ul>"
28,M0081_2544,006_2545,2002-02-14,-,กองทุนเปิดไทยพาณิชย์หุ้นทุนเพื่อการเลี้ยงชีพ ,SCB EQUITY RMF   ,SCBRM4,RG,C0000000239,,3,,R,N,,,,RMF,,กองทุนรวมเพื่อการเลี้ยงชีพ,"<ul>
    <li>ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้</li>
    <li>ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป</li>
</ul>
"
29,M0086_2559,MF0367_2559,2016-08-26,-,กองทุนเปิดไทยพาณิชย์ สมาร์ท เทรด 555 ฟันด์ บี,SCB SMART TRADE 555 FUND B,SCBST555B,RG,C0000000239,,4,,R,N,,,,SPF,กองทุนเป็นกองทุนรวมผสม แต่เนื่องจากกองทุนเน้นลงทุนในตราสารทุน โดยมี net exposure ในตราสารทุนไม่น้อยกว่าร้อยละ 80 ของ NAV ความเสี่ยงของกองทุนจึงเป็นระดับ 6,กองทุนรวมที่มีการกระจายการลงทุนน้อยกว่าเกณฑ์มาตรฐาน,- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br>- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป<br>
30,M0088_2565,MF0120_2565,2022-04-26,-,กองทุนเปิดไทยพาณิชย์ Global Clean Energy เพื่อการเลี้ยงชีพ,SCB Global Clean Energy RMF,SCBRMCLEAN,RG,C0000000239,,1,,R,N,,,,"FED,RMF",,"กองทุนรวมฟีดเดอร์,กองทุนรวมเพื่อการเลี้ยงชีพ","- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้
<br>
- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br>
- กองทุนรวมมีการแบ่งชนิดหน่วยลงทุนเป็น 2 ชนิด ได้แก่ ชนิดสะสมมูลค่าและชนิดช่องทางอิเล็กทรอนิกส์ ปัจจุบันเปิดให้บริการชนิดสะสมมูลค่า
<br>"
31,M0090_2561,MF0096_2561,2018-04-24,-,กองทุนเปิดไทยพาณิชย์หุ้นระยะยาว ซีเล็คท์,SCB Selects Long Term Equity Fund,SCBLTSE,RG,C0000000239,,3,,R,N,,,,"LTF,SSF",,"กองทุนรวมหุ้นระยะยาว,กองทุนรวมเพื่อการออม ","- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br>
- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป<br>
"
32,M0094_2561,MF0075_2561,2018-03-27,-,กองทุนเปิดไทยพาณิชย์ เครดิต ออพพอทูนิตี้,SCB Credit Opportunities Fund,SCBOPP,RG,C0000000239,,1,,R,N,,,,FED,,กองทุนรวมฟีดเดอร์,- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br>- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป<br>
33,M0109_2566,MF0090_2566,2023-03-14,-,กองทุนเปิดไทยพาณิชย์ตราสารหนี้ต่างประเทศ เอเอส 1YF2 ห้ามขายผู้ลงทุนรายย่อย,SCB Foreign Fixed Income Fund 1YF2 Not for Retail Investors,SCBASF1YF2,RG,C0000000239,,1,,B,Y,,,1 ,,,,
34,M0110_2559,MF0189_2560,2017-05-03,-,กองทุนเปิดไทยพาณิชย์ แอปโซลูท รีเทิร์น,SCB ABSOLUTE RETURN FUND,SCBABSFUND,RG,C0000000239,,4,,R,N,,,,,,,"-	ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br>
-	ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน ตราสารหนี้ทั่วไป<br>"
